área (m²),quartos,vagas de garagem,tipo de imóvel,custo (R$/m²),valor da região
21.0,1,0,Studio e kitnet,139.95,Média
15.0,1,1,Studio e kitnet,89.67,Barata
56.0,2,2,Casa em condomínio,34.89,Muito barata
50.0,2,1,Apartamento,91.74,Barata
72.0,2,1,Apartamento,72.04,Média
26.0,1,0,Studio e kitnet,86.31,Média
36.0,1,0,Apartamento,41.69,Barata
63.0,2,0,Apartamento,32.06,Barata
32.0,1,0,Studio e kitnet,81.19,Média
50.0,3,0,Casa em condomínio,30.34,Muito barata
70.0,2,1,Casa,25.26,Muito barata
75.0,2,0,Casa,32.29,Barata
64.0,2,0,Apartamento,32.02,Barata
28.0,1,0,Studio e kitnet,98.21,Barata
30.0,1,1,Casa,84.6,Cara
36.0,1,0,Apartamento,63.36,Barata
62.0,2,1,Apartamento,60.55,Barata
40.0,2,1,Apartamento,55.82,Barata
54.0,2,1,Apartamento,46.96,Barata
63.0,3,1,Apartamento,32.03,Barata
59.0,3,1,Apartamento,33.19,Barata
25.0,1,0,Studio e kitnet,102.84,Média
54.0,2,0,Apartamento,27.07,Barata
62.0,2,0,Casa,41.84,Barata
80.0,1,0,Apartamento,37.11,Barata
100.0,3,2,Casa,27.71,Barata
48.0,2,1,Apartamento,40.73,Barata
35.0,1,0,Studio e kitnet,32.94,Muito barata
68.0,2,2,Casa,37.85,Barata
69.0,2,1,Apartamento,57.54,Cara
29.0,1,0,Studio e kitnet,48.66,Barata
44.0,2,0,Apartamento,61.64,Barata
61.0,2,1,Apartamento,47.25,Média
64.0,2,1,Casa,42.42,Barata
56.0,2,2,Apartamento,48.21,Barata
60.0,2,1,Casa,27.8,Muito barata
56.0,2,1,Apartamento,39.68,Barata
62.0,2,1,Apartamento,70.23,Média
35.0,1,0,Apartamento,45.14,Barata
47.0,2,0,Casa,38.28,Barata
80.0,2,0,Casa,27.9,Muito barata
45.0,2,1,Apartamento,53.69,Barata
52.0,2,1,Apartamento,36.13,Muito barata
45.0,2,1,Apartamento,35.0,Muito barata
31.0,1,0,Studio e kitnet,44.94,Barata
60.0,2,0,Casa,29.55,Barata
65.0,2,1,Apartamento,32.46,Barata
50.0,2,1,Apartamento,59.0,Barata
42.0,1,1,Apartamento,49.19,Barata
60.0,2,1,Casa,30.95,Barata
80.0,2,1,Casa,31.61,Barata
34.0,1,0,Studio e kitnet,41.65,Barata
19.0,1,0,Studio e kitnet,106.11,Barata
28.0,1,0,Studio e kitnet,83.11,Barata
70.0,2,1,Apartamento,54.74,Barata
52.0,2,1,Apartamento,89.85,Média
50.0,2,1,Apartamento,49.72,Barata
38.0,1,1,Apartamento,77.71,Média
15.0,1,0,Studio e kitnet,79.6,Barata
62.0,3,1,Apartamento,35.76,Muito barata
46.0,2,0,Apartamento,41.91,Barata
