area,bedrooms,garage,cost/m²,type_Apartamento,type_Casa,type_Casa em condomínio,type_Studio e kitnet,valor_regiao
56,2,2,34.89,0,0,1,0,0
50,2,1,91.74,1,0,0,0,1
72,2,1,72.04,1,0,0,0,1
32,2,0,49.75,1,0,0,0,0
36,1,0,41.69,1,0,0,0,0
63,2,0,32.06,1,0,0,0,0
34,1,0,41.35,1,0,0,0,0
32,1,0,81.19,0,0,0,1,1
50,3,0,30.34,0,0,1,0,0
70,2,1,25.26,0,1,0,0,0
75,2,0,32.29,0,1,0,0,0
64,2,0,32.02,1,0,0,0,0
30,1,1,84.6,0,1,0,0,1
32,1,0,68.03,1,0,0,0,1
36,1,0,63.36,1,0,0,0,1
30,1,0,68.87,1,0,0,0,1
62,2,1,60.55,1,0,0,0,1
40,2,1,55.82,1,0,0,0,1
54,2,1,46.96,1,0,0,0,0
63,3,1,32.03,1,0,0,0,0
59,3,1,33.19,1,0,0,0,0
54,2,0,27.07,1,0,0,0,0
62,2,0,41.84,0,1,0,0,0
80,1,0,37.11,1,0,0,0,1
100,3,2,27.71,0,1,0,0,0
48,2,1,40.73,1,0,0,0,0
35,1,0,32.94,0,0,0,1,0
32,1,0,70.28,1,0,0,0,1
33,1,0,79.52,1,0,0,0,1
68,2,2,37.85,0,1,0,0,0
69,2,1,57.54,1,0,0,0,2
110,2,0,12.32,0,1,0,0,0
44,2,0,61.64,1,0,0,0,1
61,2,1,47.25,1,0,0,0,0
64,2,1,42.42,0,1,0,0,0
56,2,2,48.21,1,0,0,0,0
60,2,1,27.8,0,1,0,0,0
56,2,1,39.68,1,0,0,0,0
62,2,1,70.23,1,0,0,0,1
35,1,0,45.14,1,0,0,0,0
47,2,0,38.28,0,1,0,0,0
80,2,0,27.9,0,1,0,0,0
45,2,1,53.69,1,0,0,0,0
52,2,1,36.13,1,0,0,0,0
46,2,0,23.37,1,0,0,0,0
45,2,1,35.0,1,0,0,0,0
31,1,0,43.55,1,0,0,0,0
31,1,0,44.94,0,0,0,1,1
60,2,0,29.55,0,1,0,0,0
65,2,1,32.46,1,0,0,0,0
50,2,1,59.0,1,0,0,0,1
